Filename	Seg	WC	WPS	Sixltr	Dic	funct	pronoun	ppron	i	we	you	shehe	they	ipron	article	verb	auxverb	past	present	future	adverb	preps	conj	negate	quant	number	swear	social	family	friend	humans	affect	posemo	negemo	anx	anger	sad	cogmech	insight	cause	discrep	tentat	certain	inhib	incl	excl	percept	see	hear	feel	bio	body	health	sexual	ingest	relativ	motion	space	time	work	achieve	leisure	home	money	relig	death	assent	nonfl	filler	Period	Comma	Colon	SemiC	QMark	Exclam	Dash	Quote	Apostro	Parenth	OtherP	AllPct
2005_01_01_1638663.txt	1	77	38.50	36.36	76.62	40.26	6.49	0.00	0.00	0.00	0.00	0.00	0.00	6.49	12.99	1.30	0.00	1.30	0.00	0.00	0.00	18.18	2.60	0.00	0.00	0.00	0.00	1.30	0.00	0.00	0.00	7.79	7.79	0.00	0.00	0.00	0.00	9.09	0.00	0.00	0.00	0.00	2.60	1.30	5.19	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	15.58	2.60	7.79	5.19	10.39	2.60	0.00	0.00	6.49	0.00	0.00	0.00	0.00	0.00	2.60	3.90	0.00	0.00	0.00	0.00	0.00	0.00	7.79	0.00	0.00	14.29
2005_01_01_1638666.txt	1	57	8.14	28.07	61.40	31.58	3.51	1.75	0.00	0.00	0.00	1.75	0.00	1.75	7.02	8.77	3.51	8.77	0.00	0.00	0.00	12.28	5.26	0.00	1.75	3.51	0.00	7.02	1.75	0.00	0.00	5.26	5.26	0.00	0.00	0.00	0.00	8.77	0.00	1.75	0.00	0.00	0.00	0.00	7.02	0.00	1.75	0.00	1.75	0.00	1.75	0.00	1.75	0.00	0.00	10.53	0.00	8.77	1.75	5.26	0.00	0.00	0.00	8.77	0.00	1.75	0.00	0.00	0.00	17.54	10.53	0.00	0.00	0.00	0.00	0.00	0.00	1.75	0.00	1.75	31.58
2005_01_01_1638677.txt	1	40	10.00	17.50	92.50	65.00	17.50	10.00	2.50	0.00	0.00	5.00	2.50	7.50	7.50	7.50	7.50	0.00	7.50	0.00	7.50	7.50	2.50	5.00	7.50	5.00	0.00	20.00	0.00	0.00	2.50	0.00	0.00	0.00	0.00	0.00	0.00	12.50	2.50	0.00	0.00	0.00	2.50	0.00	0.00	7.50	0.00	0.00	0.00	0.00	2.50	0.00	0.00	0.00	2.50	10.00	2.50	2.50	5.00	5.00	0.00	2.50	0.00	2.50	0.00	0.00	0.00	0.00	0.00	10.00	10.00	0.00	0.00	0.00	0.00	5.00	0.00	30.00	0.00	0.00	55.00
2005_01_01_1638678.txt	1	122	24.40	28.69	77.87	47.54	7.38	0.82	0.00	0.00	0.00	0.00	0.82	6.56	12.30	12.30	8.20	10.66	0.82	0.00	0.82	16.39	1.64	0.00	0.82	1.64	0.00	5.74	0.00	0.00	0.00	4.10	1.64	2.46	0.00	1.64	0.82	6.56	1.64	1.64	0.82	0.00	0.00	0.00	1.64	0.00	1.64	0.00	1.64	0.00	6.56	0.00	5.74	0.00	0.82	13.93	2.46	5.74	5.74	4.92	0.00	0.00	0.00	0.00	0.00	0.82	0.00	0.82	0.00	5.74	4.92	0.00	0.00	0.00	0.00	1.64	0.00	0.00	0.00	0.82	12.30
2005_01_02_1639017.txt	1	178	22.25	30.34	80.90	46.07	6.74	1.12	0.00	0.00	0.00	0.00	1.12	5.62	9.55	5.62	4.49	0.56	3.93	0.56	3.93	16.29	3.93	0.00	6.74	2.81	0.00	3.37	0.00	0.00	0.56	1.69	1.12	0.56	0.00	0.00	0.56	12.36	1.12	2.25	2.25	1.12	0.56	0.56	3.37	1.12	0.56	0.00	0.56	0.00	0.00	0.00	0.00	0.00	0.00	13.48	0.56	6.74	6.18	11.80	3.93	0.00	0.00	3.93	0.00	0.00	0.00	0.00	0.00	5.06	5.62	0.00	0.00	0.00	0.00	6.74	0.00	1.12	0.00	0.00	16.85
2005_01_02_1639029.txt	1	110	27.50	30.91	79.09	45.45	7.27	2.73	0.00	0.00	0.00	0.91	1.82	4.55	7.27	7.27	6.36	4.55	0.91	0.00	6.36	12.73	8.18	0.00	0.91	1.82	0.00	2.73	0.00	0.00	0.00	6.36	3.64	2.73	0.00	1.82	0.91	13.64	0.00	0.91	1.82	0.91	2.73	3.64	4.55	0.00	0.91	0.91	0.00	0.00	0.00	0.00	0.00	0.00	0.00	16.36	0.00	4.55	10.91	7.27	0.91	0.91	0.00	6.36	0.00	0.00	0.00	0.00	0.00	3.64	5.45	0.00	0.00	0.00	0.00	4.55	0.00	0.91	0.00	0.00	14.55
2005_01_02_1639033.txt	1	69	13.80	30.43	66.67	37.68	2.90	2.90	0.00	0.00	0.00	0.00	2.90	0.00	11.59	2.90	2.90	2.90	0.00	0.00	1.45	15.94	4.35	0.00	4.35	5.80	0.00	2.90	0.00	0.00	0.00	1.45	1.45	0.00	0.00	0.00	0.00	10.14	0.00	1.45	0.00	1.45	0.00	0.00	2.90	0.00	1.45	0.00	0.00	1.45	0.00	0.00	0.00	0.00	0.00	8.70	1.45	5.80	1.45	4.35	4.35	0.00	0.00	5.80	0.00	0.00	0.00	0.00	0.00	8.70	5.80	0.00	0.00	0.00	0.00	2.90	0.00	5.80	0.00	5.80	27.54
2005_01_02_1639050.txt	1	91	30.33	35.16	76.92	37.36	1.10	0.00	0.00	0.00	0.00	0.00	0.00	1.10	5.49	4.40	2.20	4.40	0.00	0.00	1.10	16.48	5.49	0.00	9.89	8.79	0.00	3.30	0.00	0.00	0.00	4.40	2.20	2.20	0.00	0.00	1.10	10.99	1.10	1.10	0.00	1.10	0.00	0.00	5.49	1.10	1.10	0.00	0.00	1.10	0.00	0.00	0.00	0.00	0.00	16.48	4.40	7.69	4.40	10.99	6.59	0.00	0.00	3.30	0.00	0.00	0.00	0.00	0.00	8.79	7.69	0.00	0.00	0.00	0.00	2.20	0.00	2.20	0.00	2.20	21.98
2005_01_04_1639394.txt	1	61	30.50	22.95	83.61	60.66	8.20	6.56	0.00	0.00	1.64	0.00	4.92	1.64	9.84	11.48	9.84	0.00	8.20	1.64	13.11	16.39	3.28	1.64	4.92	0.00	0.00	13.11	0.00	0.00	0.00	1.64	0.00	1.64	1.64	0.00	0.00	16.39	0.00	0.00	0.00	6.56	1.64	1.64	4.92	3.28	3.28	0.00	0.00	3.28	3.28	0.00	0.00	0.00	3.28	19.67	3.28	11.48	4.92	4.92	1.64	1.64	0.00	3.28	0.00	0.00	0.00	0.00	0.00	3.28	8.20	0.00	0.00	0.00	0.00	0.00	0.00	3.28	0.00	0.00	14.75
2005_01_04_1639395.txt	1	382	16.61	29.06	76.96	43.72	4.97	1.57	0.26	0.52	0.00	0.26	0.52	3.40	9.69	10.99	7.59	2.88	6.28	0.79	3.14	13.35	3.40	0.52	3.14	2.88	0.00	5.50	0.00	0.00	1.05	2.36	1.57	0.52	0.00	0.00	0.00	9.42	1.05	3.40	0.52	0.52	0.26	0.52	2.62	1.31	2.36	0.00	1.57	0.26	0.00	0.00	0.00	0.00	0.00	20.68	7.07	6.28	6.54	6.02	3.93	5.24	0.52	3.66	0.26	0.00	0.00	0.00	0.00	5.76	6.81	0.00	0.00	0.26	0.00	3.93	0.00	7.85	0.00	0.00	23.82
2005_01_04_1639396.txt	1	93	31.00	31.18	72.04	47.31	5.38	2.15	2.15	0.00	0.00	0.00	0.00	3.23	6.45	8.60	7.53	1.08	5.38	0.00	4.30	17.20	5.38	0.00	2.15	3.23	0.00	3.23	0.00	0.00	0.00	1.08	1.08	0.00	0.00	0.00	0.00	8.60	1.08	1.08	0.00	2.15	2.15	0.00	2.15	1.08	1.08	0.00	1.08	0.00	2.15	0.00	2.15	0.00	0.00	15.05	3.23	4.30	7.53	3.23	0.00	1.08	1.08	0.00	1.08	0.00	0.00	0.00	0.00	3.23	7.53	1.08	0.00	0.00	0.00	4.30	0.00	16.13	0.00	0.00	31.18
2005_01_04_1639402.txt	1	108	27.00	33.33	84.26	49.07	4.63	2.78	0.00	0.00	0.00	0.00	2.78	1.85	9.26	9.26	7.41	0.00	6.48	0.00	5.56	15.74	7.41	0.00	3.70	0.00	0.00	4.63	0.00	0.00	0.93	11.11	8.33	2.78	0.93	0.00	0.00	13.89	2.78	3.70	0.93	1.85	0.00	0.93	1.85	2.78	0.93	0.93	0.00	0.00	0.93	0.00	0.93	0.00	0.00	8.33	2.78	2.78	1.85	7.41	7.41	0.93	0.00	2.78	0.00	0.00	0.00	0.93	0.00	3.70	4.63	0.00	0.00	0.00	0.00	4.63	0.00	0.00	0.00	0.93	12.04
2005_01_04_1639409.txt	1	144	36.00	24.31	70.83	43.75	4.86	1.39	0.00	0.00	0.00	0.00	1.39	3.47	9.72	4.86	4.17	2.78	2.08	0.00	4.17	12.50	8.33	0.00	0.69	5.56	0.00	4.17	0.69	0.00	0.00	0.69	0.69	0.00	0.00	0.00	0.00	11.81	2.08	0.00	0.00	1.39	0.69	0.00	7.64	1.39	2.78	0.69	0.69	0.00	3.47	0.00	0.00	0.00	3.47	23.61	2.08	15.97	6.25	2.08	1.39	0.69	0.00	0.69	0.69	0.00	0.00	0.00	0.69	2.78	11.81	0.00	0.00	0.00	0.00	3.47	0.00	1.39	0.00	0.00	19.44
2005_01_04_1639436.txt	1	94	11.75	22.34	73.40	37.23	2.13	0.00	0.00	0.00	0.00	0.00	0.00	2.13	12.77	4.26	2.13	2.13	2.13	0.00	1.06	15.96	3.19	0.00	1.06	4.26	0.00	6.38	0.00	0.00	3.19	2.13	2.13	0.00	0.00	0.00	0.00	6.38	1.06	1.06	0.00	0.00	0.00	0.00	4.26	0.00	1.06	1.06	0.00	0.00	1.06	0.00	1.06	0.00	0.00	13.83	3.19	3.19	6.38	11.70	1.06	0.00	0.00	5.32	0.00	0.00	0.00	0.00	0.00	9.57	8.51	0.00	0.00	0.00	0.00	0.00	0.00	2.13	0.00	2.13	22.34
2005_01_04_1639439.txt	1	140	20.00	26.43	77.86	45.00	1.43	0.00	0.00	0.00	0.00	0.00	0.00	1.43	11.43	8.57	7.14	0.00	3.57	2.86	0.71	11.43	5.71	0.00	7.86	0.71	0.00	0.00	0.00	0.00	0.00	1.43	1.43	0.00	0.00	0.00	0.00	12.86	0.71	2.86	0.71	0.71	0.71	0.00	7.14	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	16.43	1.43	7.14	7.86	10.71	0.00	0.00	0.00	12.14	0.00	0.00	0.00	0.00	0.00	5.00	4.29	0.00	0.00	0.00	0.00	3.57	0.00	0.71	0.00	0.00	12.14
2005_01_04_1639457.txt	1	52	26.00	32.69	76.92	48.08	7.69	0.00	0.00	0.00	0.00	0.00	0.00	7.69	5.77	7.69	5.77	1.92	3.85	1.92	7.69	7.69	5.77	3.85	5.77	1.92	0.00	3.85	0.00	0.00	0.00	5.77	0.00	5.77	1.92	0.00	1.92	13.46	0.00	3.85	1.92	1.92	0.00	0.00	3.85	1.92	1.92	0.00	1.92	0.00	0.00	0.00	0.00	0.00	0.00	15.38	1.92	7.69	5.77	9.62	0.00	3.85	0.00	3.85	0.00	0.00	0.00	0.00	0.00	1.92	5.77	0.00	0.00	1.92	0.00	1.92	0.00	1.92	0.00	0.00	13.46
2005_01_04_1639458.txt	1	89	22.25	33.71	80.90	46.07	6.74	0.00	0.00	0.00	0.00	0.00	0.00	6.74	12.36	8.99	6.74	0.00	4.49	2.25	2.25	11.24	6.74	0.00	1.12	3.37	0.00	3.37	0.00	0.00	0.00	2.25	2.25	0.00	0.00	0.00	0.00	11.24	0.00	0.00	3.37	0.00	1.12	2.25	3.37	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	14.61	2.25	4.49	7.87	10.11	3.37	0.00	0.00	8.99	0.00	0.00	0.00	0.00	0.00	4.49	5.62	0.00	0.00	0.00	0.00	1.12	0.00	1.12	0.00	1.12	13.48
